FullGeoName,Year,County,Activity,Reported human cases,Neuroinvasive disease cases,Identified by Blood Donor Screening,Notes
"MO, Maries",1999-2024,29125,Non-human activity,0,0,0,
"MO, Marion",1999-2024,29127,Human infections and non-human activity,1,1,0,
"MO, Mercer",1999-2024,29129,Non-human activity,0,0,0,
"MO, Miller",1999-2024,29131,Human infections and non-human activity,5,3,2,
"MO, Mississippi",1999-2024,29133,Human infections and non-human activity,1,0,0,
"MO, Moniteau",1999-2024,29135,Human infections and non-human activity,2,1,0,
"MO, Monroe",1999-2024,29137,Human infections and non-human activity,1,0,1,
"MO, Montgomery",1999-2024,29139,Non-human activity,0,0,0,
"MO, Morgan",1999-2024,29141,Human infections and non-human activity,2,1,1,
"MO, New Madrid",1999-2024,29143,Human infections and non-human activity,1,0,0,
"MO, Newton",1999-2024,29145,Human infections and non-human activity,1,1,0,
"MO, Nodaway",1999-2024,29147,Human infections and non-human activity,3,3,0,
"MO, Oregon",1999-2024,29149,Non-human activity,0,0,0,
"MO, Osage",1999-2024,29151,Human infections and non-human activity,0,0,1,
"MO, Ozark",1999-2024,29153,Non-human activity,0,0,0,
"MO, Pemiscot",1999-2024,29155,Human infections and non-human activity,1,0,0,
"MO, Perry",1999-2024,29157,Non-human activity,0,0,0,
"MO, Pettis",1999-2024,29159,Human infections and non-human activity,2,1,0,
"MO, Phelps",1999-2024,29161,Human infections and non-human activity,3,3,0,
"MO, Pike",1999-2024,29163,Human infections and non-human activity,2,2,0,
"MO, Platte",1999-2024,29165,Human infections and non-human activity,4,3,1,
"MO, Polk",1999-2024,29167,Non-human activity,0,0,0,
"MO, Pulaski",1999-2024,29169,Human infections and non-human activity,5,5,0,
"MO, Putnam",1999-2024,29171,Non-human activity,0,0,0,
"MO, Ralls",1999-2024,29173,Non-human activity,0,0,0,
"MO, Randolph",1999-2024,29175,Human infections and non-human activity,5,5,0,
"MO, Ray",1999-2024,29177,Human infections and non-human activity,2,0,2,
"MO, Reynolds",1999-2024,29179,Non-human activity,0,0,0,
"MO, Ripley",1999-2024,29181,Non-human activity,0,0,0,
"MO, St Charles",1999-2024,29183,Human infections and non-human activity,26,21,7,
"MO, St Clair",1999-2024,29185,Non-human activity,0,0,0,
"MO, Ste. Genevieve",1999-2024,29186,Human infections and non-human activity,1,1,0,
"MO, St Francois",1999-2024,29187,Human infections and non-human activity,3,3,0,
"MO, St Louis",1999-2024,29189,Human infections and non-human activity,168,126,18,
"MO, Saline",1999-2024,29195,Human infections and non-human activity,4,3,0,
"MO, Schuyler",1999-2024,29197,Human infections and non-human activity,1,1,0,
"MO, Scotland",1999-2024,29199,Human infections and non-human activity,1,1,0,
"MO, Scott",1999-2024,29201,Human infections and non-human activity,3,1,0,
"MO, Shannon",1999-2024,29203,Human infections and non-human activity,3,2,0,
"MO, Shelby",1999-2024,29205,Human infections and non-human activity,1,0,0,
"MO, Stoddard",1999-2024,29207,Human infections and non-human activity,3,3,1,
"MO, Stone",1999-2024,29209,Non-human activity,0,0,0,
"MO, Sullivan",1999-2024,29211,Non-human activity,0,0,0,
"MO, Taney",1999-2024,29213,Non-human activity,0,0,0,
"MO, Texas",1999-2024,29215,Human infections and non-human activity,3,3,0,
"MO, Vernon",1999-2024,29217,Human infections and non-human activity,3,3,0,
"MO, Warren",1999-2024,29219,Human infections and non-human activity,0,0,2,
"MO, Washington",1999-2024,29221,Human infections and non-human activity,1,1,0,
"MO, Wayne",1999-2024,29223,Human infections and non-human activity,0,0,1,
"MO, Webster",1999-2024,29225,Human infections and non-human activity,2,2,2,
"MO, Worth",1999-2024,29227,Human infections and non-human activity,1,1,0,
"MO, Wright",1999-2024,29229,Human infections and non-human activity,1,1,0,
"MO, St Louis City",1999-2024,29510,Human infections and non-human activity,167,144,7,
"MT, Beaverhead",1999-2024,30001,Non-human activity,0,0,0,
"MT, Big Horn",1999-2024,30003,Human infections and non-human activity,23,10,1,
"MT, Blaine",1999-2024,30005,Human infections and non-human activity,20,11,1,
"MT, Broadwater",1999-2024,30007,Non-human activity,0,0,0,
"MT, Carbon",1999-2024,30009,Human infections and non-human activity,5,4,2,
"MT, Carter",1999-2024,30011,Human infections and non-human activity,3,0,0,
"MT, Cascade",1999-2024,30013,Human infections and non-human activity,41,16,4,
"MT, Chouteau",1999-2024,30015,Human infections and non-human activity,12,3,0,
"MT, Custer",1999-2024,30017,Human infections and non-human activity,55,9,2,
"MT, Daniels",1999-2024,30019,Non-human activity,0,0,0,
"MT, Dawson",1999-2024,30021,Human infections and non-human activity,22,6,0,
"MT, Fallon",1999-2024,30025,Human infections and non-human activity,8,5,0,
"MT, Fergus",1999-2024,30027,Human infections and non-human activity,2,0,0,
"MT, Flathead",1999-2024,30029,Human infections and non-human activity,3,1,1,
"MT, Gallatin",1999-2024,30031,Human infections and non-human activity,5,2,1,
"MT, Garfield",1999-2024,30033,Human infections and non-human activity,7,1,2,
"MT, Glacier",1999-2024,30035,Human infections and non-human activity,3,1,1,
"MT, Golden Valley",1999-2024,30037,Non-human activity,0,0,0,
"MT, Hill",1999-2024,30041,Human infections and non-human activity,30,8,3,
"MT, Jefferson",1999-2024,30043,Human infections and non-human activity,0,0,1,
"MT, Judith Basin",1999-2024,30045,Non-human activity,0,0,0,
"MT, Lake",1999-2024,30047,Human infections and non-human activity,4,2,1,
"MT, Lewis And Clark",1999-2024,30049,Human infections and non-human activity,16,4,4,
"MT, Liberty",1999-2024,30051,Human infections and non-human activity,3,0,1,
"MT, Lincoln",1999-2024,30053,Non-human activity,0,0,0,
"MT, Mccone",1999-2024,30055,Human infections and non-human activity,14,2,1,
"MT, Madison",1999-2024,30057,Human infections and non-human activity,2,0,0,
"MT, Mineral",1999-2024,30061,Human infections,1,0,0,
"MT, Missoula",1999-2024,30063,Human infections and non-human activity,3,1,0,
"MT, Musselshell",1999-2024,30065,Human infections and non-human activity,2,1,1,
"MT, Park",1999-2024,30067,Human infections and non-human activity,3,2,0,
"MT, Petroleum",1999-2024,30069,Human infections and non-human activity,1,0,1,
"MT, Phillips",1999-2024,30071,Human infections and non-human activity,23,2,0,
"MT, Pondera",1999-2024,30073,Human infections and non-human activity,7,2,0,
"MT, Powder River",1999-2024,30075,Human infections and non-human activity,7,1,0,
"MT, Powell",1999-2024,30077,Non-human activity,0,0,0,
"MT, Prairie",1999-2024,30079,Human infections and non-human activity,15,3,1,
"MT, Ravalli",1999-2024,30081,Human infections and non-human activity,4,2,0,
"MT, Richland",1999-2024,30083,Human infections and non-human activity,35,13,2,
"MT, Roosevelt",1999-2024,30085,Human infections and non-human activity,44,12,1,
"MT, Rosebud",1999-2024,30087,Human infections and non-human activity,22,9,1,
"MT, Sanders",1999-2024,30089,Human infections and non-human activity,5,2,0,
"MT, Sheridan",1999-2024,30091,Human infections and non-human activity,19,8,2,
"MT, Silver Bow",1999-2024,30093,Human infections,1,1,1,
"MT, Stillwater",1999-2024,30095,Human infections and non-human activity,14,6,0,
"MT, Sweet Grass",1999-2024,30097,Human infections and non-human activity,1,0,0,
"MT, Teton",1999-2024,30099,Human infections and non-human activity,7,2,0,
"MT, Toole",1999-2024,30101,Human infections and non-human activity,7,3,1,
"MT, Treasure",1999-2024,30103,Human infections and non-human activity,5,2,0,
"MT, Valley",1999-2024,30105,Human infections and non-human activity,51,16,2,
"MT, Wheatland",1999-2024,30107,Human infections and non-human activity,1,0,0,
"MT, Wibaux",1999-2024,30109,Human infections and non-human activity,7,1,0,
"MT, Yellowstone",1999-2024,30111,Human infections and non-human activity,107,43,14,
"NE, Adams",1999-2024,31001,Human infections and non-human activity,198,32,18,
"NE, Antelope",1999-2024,31003,Human infections and non-human activity,14,1,7,
"NE, Arthur",1999-2024,31005,Non-human activity,0,0,0,
"NE, Banner",1999-2024,31007,Human infections and non-human activity,5,2,1,
"NE, Blaine",1999-2024,31009,Human infections and non-human activity,5,1,0,
"NE, Boone",1999-2024,31011,Human infections and non-human activity,52,10,8,
"NE, Box Butte",1999-2024,31013,Human infections and non-human activity,42,6,1,
"NE, Boyd",1999-2024,31015,Human infections and non-human activity,9,1,0,
"NE, Brown",1999-2024,31017,Human infections and non-human activity,35,6,2,
"NE, Buffalo",1999-2024,31019,Human infections and non-human activity,282,46,24,
"NE, Burt",1999-2024,31021,Human infections and non-human activity,14,5,3,
"NE, Butler",1999-2024,31023,Human infections and non-human activity,33,13,7,
"NE, Cass",1999-2024,31025,Human infections and non-human activity,17,10,6,
"NE, Cedar",1999-2024,31027,Human infections and non-human activity,19,6,2,
"NE, Chase",1999-2024,31029,Human infections and non-human activity,44,4,9,
"NE, Cherry",1999-2024,31031,Human infections and non-human activity,22,4,1,
"NE, Cheyenne",1999-2024,31033,Human infections and non-human activity,28,5,3,
"NE, Clay",1999-2024,31035,Human infections and non-human activity,58,5,8,
"NE, Colfax",1999-2024,31037,Human infections and non-human activity,29,7,10,
"NE, Cuming",1999-2024,31039,Human infections and non-human activity,41,15,7,
"NE, Custer",1999-2024,31041,Human infections and non-human activity,100,11,14,
"NE, Dakota",1999-2024,31043,Human infections and non-human activity,8,2,4,
"NE, Dawes",1999-2024,31045,Human infections and non-human activity,9,5,2,
"NE, Dawson",1999-2024,31047,Human infections and non-human activity,147,24,13,
"NE, Deuel",1999-2024,31049,Human infections and non-human activity,18,1,2,
"NE, Dixon",1999-2024,31051,Human infections and non-human activity,9,3,4,
"NE, Dodge",1999-2024,31053,Human infections and non-human activity,90,30,13,
"NE, Douglas",1999-2024,31055,Human infections and non-human activity,328,145,74,
"NE, Dundy",1999-2024,31057,Human infections and non-human activity,11,3,4,
"NE, Fillmore",1999-2024,31059,Human infections and non-human activity,39,10,5,
"NE, Franklin",1999-2024,31061,Human infections and non-human activity,16,2,4,
"NE, Frontier",1999-2024,31063,Human infections and non-human activity,11,1,4,
"NE, Furnas",1999-2024,31065,Human infections and non-human activity,42,7,7,
"NE, Gage",1999-2024,31067,Human infections and non-human activity,51,17,7,
"NE, Garden",1999-2024,31069,Human infections and non-human activity,26,4,0,
"NE, Garfield",1999-2024,31071,Human infections and non-human activity,20,1,4,
"NE, Gosper",1999-2024,31073,Human infections and non-human activity,9,4,2,
"NE, Grant",1999-2024,31075,Human infections and non-human activity,5,1,1,
"NE, Greeley",1999-2024,31077,Human infections and non-human activity,12,2,4,
"NE, Hall",1999-2024,31079,Human infections and non-human activity,240,62,30,
"NE, Hamilton",1999-2024,31081,Human infections and non-human activity,95,15,10,
"NE, Harlan",1999-2024,31083,Human infections and non-human activity,29,7,3,
"NE, Hayes",1999-2024,31085,Human infections and non-human activity,5,0,0,
"NE, Hitchcock",1999-2024,31087,Human infections and non-human activity,16,2,2,
"NE, Holt",1999-2024,31089,Human infections and non-human activity,70,15,8,
"NE, Hooker",1999-2024,31091,Human infections and non-human activity,6,2,0,
"NE, Howard",1999-2024,31093,Human infections and non-human activity,25,7,9,
"NE, Jefferson",1999-2024,31095,Human infections and non-human activity,17,3,2,
"NE, Johnson",1999-2024,31097,Human infections and non-human activity,5,1,0,
"NE, Kearney",1999-2024,31099,Human infections and non-human activity,58,12,6,
"NE, Keith",1999-2024,31101,Human infections and non-human activity,64,13,8,
"NE, Keya Paha",1999-2024,31103,Human infections and non-human activity,6,0,1,
"NE, Kimball",1999-2024,31105,Human infections and non-human activity,16,1,1,
"NE, Knox",1999-2024,31107,Human infections and non-human activity,37,6,5,
"NE, Lancaster",1999-2024,31109,Human infections and non-human activity,311,108,58,
"NE, Lincoln",1999-2024,31111,Human infections and non-human activity,244,35,19,
"NE, Logan",1999-2024,31113,Human infections and non-human activity,7,2,2,
"NE, Loup",1999-2024,31115,Human infections and non-human activity,1,0,0,
"NE, Mcpherson",1999-2024,31117,Human infections and non-human activity,1,1,0,
"NE, Madison",1999-2024,31119,Human infections and non-human activity,58,19,20,
"NE, Merrick",1999-2024,31121,Human infections and non-human activity,51,15,7,
"NE, Morrill",1999-2024,31123,Human infections and non-human activity,42,8,1,
"NE, Nance",1999-2024,31125,Human infections and non-human activity,14,1,6,
"NE, Nemaha",1999-2024,31127,Human infections and non-human activity,10,1,2,
"NE, Nuckolls",1999-2024,31129,Human infections and non-human activity,15,1,5,
"NE, Otoe",1999-2024,31131,Human infections and non-human activity,17,7,5,
"NE, Pawnee",1999-2024,31133,Human infections and non-human activity,5,2,3,
"NE, Perkins",1999-2024,31135,Human infections and non-human activity,38,6,9,
"NE, Phelps",1999-2024,31137,Human infections and non-human activity,76,9,11,
"NE, Pierce",1999-2024,31139,Human infections and non-human activity,15,8,2,
"NE, Platte",1999-2024,31141,Human infections and non-human activity,91,23,27,
"NE, Polk",1999-2024,31143,Human infections and non-human activity,37,10,6,
"NE, Red Willow",1999-2024,31145,Human infections and non-human activity,52,9,6,
"NE, Richardson",1999-2024,31147,Human infections and non-human activity,7,3,0,
"NE, Rock",1999-2024,31149,Human infections and non-human activity,7,0,0,
"NE, Saline",1999-2024,31151,Human infections and non-human activity,49,11,12,
"NE, Sarpy",1999-2024,31153,Human infections and non-human activity,96,44,26,
"NE, Saunders",1999-2024,31155,Human infections and non-human activity,54,12,12,
"NE, Scotts Bluff",1999-2024,31157,Human infections and non-human activity,198,47,5,
"NE, Seward",1999-2024,31159,Human infections and non-human activity,52,12,6,
"NE, Sheridan",1999-2024,31161,Human infections and non-human activity,30,8,0,
"NE, Sherman",1999-2024,31163,Human infections and non-human activity,20,1,7,
"NE, Sioux",1999-2024,31165,Human infections and non-human activity,4,2,0,
"NE, Stanton",1999-2024,31167,Human infections and non-human activity,4,0,3,
"NE, Thayer",1999-2024,31169,Human infections and non-human activity,37,6,5,
"NE, Thomas",1999-2024,31171,Human infections and non-human activity,5,2,1,
"NE, Thurston",1999-2024,31173,Human infections and non-human activity,4,2,0,
"NE, Valley",1999-2024,31175,Human infections and non-human activity,40,4,7,
"NE, Washington",1999-2024,31177,Human infections and non-human activity,42,13,5,
"NE, Wayne",1999-2024,31179,Human infections and non-human activity,9,1,4,
"NE, Webster",1999-2024,31181,Human infections and non-human activity,21,3,0,
"NE, Wheeler",1999-2024,31183,Human infections and non-human activity,2,0,2,
"NE, York",1999-2024,31185,Human infections and non-human activity,75,21,13,
"NV, Churchill",1999-2024,32001,Human infections and non-human activity,58,24,4,
"NV, Clark",1999-2024,32003,Human infections and non-human activity,169,118,45,
"NV, Douglas",1999-2024,32005,Human infections and non-human activity,37,13,0,
"NV, Elko",1999-2024,32007,Human infections and non-human activity,29,6,0,
"NV, Eureka",1999-2024,32011,Non-human activity,0,0,0,
"NV, Humboldt",1999-2024,32013,Human infections and non-human activity,20,10,0,
"NV, Lander",1999-2024,32015,Human infections and non-human activity,2,0,0,
"NV, Lincoln",1999-2024,32017,Human infections and non-human activity,1,0,0,
"NV, Lyon",1999-2024,32019,Human infections and non-human activity,47,15,6,
"NV, Mineral",1999-2024,32021,Human infections and non-human activity,1,0,0,
"NV, Nye",1999-2024,32023,Human infections and non-human activity,9,6,0,
"NV, Pershing",1999-2024,32027,Human infections and non-human activity,9,0,0,
"NV, Storey",1999-2024,32029,Non-human activity,0,0,0,
"NV, Washoe",1999-2024,32031,Human infections and non-human activity,61,27,10,
"NV, White Pine",1999-2024,32033,Non-human activity,0,0,0,
"NV, Carson City",1999-2024,32510,Human infections and non-human activity,15,5,1,
"NH, Belknap",1999-2024,33001,Human infections and non-human activity,1,1,0,
"NH, Carroll",1999-2024,33003,Non-human activity,0,0,0,
"NH, Cheshire",1999-2024,33005,Human infections and non-human activity,2,2,0,
"NH, Grafton",1999-2024,33009,Non-human activity,0,0,0,
"NH, Hillsborough",1999-2024,33011,Human infections and non-human activity,3,3,0,
"NH, Merrimack",1999-2024,33013,Human infections and non-human activity,1,1,0,
"NH, Rockingham",1999-2024,33015,Human infections and non-human activity,3,1,0,
"NH, Strafford",1999-2024,33017,Non-human activity,0,0,0,
"NH, Sullivan",1999-2024,33019,Non-human activity,0,0,0,
"NJ, Atlantic",1999-2024,34001,Human infections and non-human activity,9,5,1,
"NJ, Bergen",1999-2024,34003,Human infections and non-human activity,52,37,2,
"NJ, Burlington",1999-2024,34005,Human infections and non-human activity,38,24,6,
"NJ, Camden",1999-2024,34007,Human infections and non-human activity,50,32,11,
"NJ, Cape May",1999-2024,34009,Human infections and non-human activity,9,7,1,
"NJ, Cumberland",1999-2024,34011,Human infections and non-human activity,13,8,0,
"NJ, Essex",1999-2024,34013,Human infections and non-human activity,26,16,2,
"NJ, Gloucester",1999-2024,34015,Human infections and non-human activity,16,10,2,
"NJ, Hudson",1999-2024,34017,Human infections and non-human activity,19,16,0,
"NJ, Hunterdon",1999-2024,34019,Human infections and non-human activity,9,7,1,
"NJ, Mercer",1999-2024,34021,Human infections and non-human activity,22,15,2,
"NJ, Middlesex",1999-2024,34023,Human infections and non-human activity,30,25,7,
"NJ, Monmouth",1999-2024,34025,Human infections and non-human activity,40,26,3,
"NJ, Morris",1999-2024,34027,Human infections and non-human activity,11,8,1,
"NJ, Ocean",1999-2024,34029,Human infections and non-human activity,25,14,0,
"NJ, Passaic",1999-2024,34031,Human infections and non-human activity,16,12,1,
"NJ, Salem",1999-2024,34033,Human infections and non-human activity,4,3,0,
"NJ, Somerset",1999-2024,34035,Human infections and non-human activity,12,9,3,
"NJ, Sussex",1999-2024,34037,Human infections and non-human activity,2,0,0,
"NJ, Union",1999-2024,34039,Human infections and non-human activity,25,21,0,
"NJ, Warren",1999-2024,34041,Human infections and non-human activity,7,6,0,
"NM, Bernalillo",1999-2024,35001,Human infections and non-human activity,164,98,15,
"NM, Catron",1999-2024,35003,Non-human activity,0,0,0,
"NM, Chaves",1999-2024,35005,Human infections and non-human activity,27,15,13,
"NM, Cibola",1999-2024,35006,Human infections and non-human activity,4,1,0,
"NM, Colfax",1999-2024,35007,Human infections and non-human activity,9,6,0,
"NM, Curry",1999-2024,35009,Human infections and non-human activity,46,18,0,
"NM, De Baca",1999-2024,35011,Human infections and non-human activity,4,1,0,
"NM, Dona Ana",1999-2024,35013,Human infections and non-human activity,97,60,19,
"NM, Eddy",1999-2024,35015,Human infections and non-human activity,9,6,2,
"NM, Grant",1999-2024,35017,Human infections and non-human activity,3,2,0,
"NM, Guadalupe",1999-2024,35019,Human infections and non-human activity,2,1,0,
"NM, Harding",1999-2024,35021,Human infections and non-human activity,1,0,0,
"NM, Hidalgo",1999-2024,35023,Non-human activity,0,0,0,
"NM, Lea",1999-2024,35025,Human infections and non-human activity,23,15,4,
"NM, Lincoln",1999-2024,35027,Human infections and non-human activity,1,1,0,
"NM, Los Alamos",1999-2024,35028,Human infections and non-human activity,2,0,0,
"NM, Luna",1999-2024,35029,Human infections and non-human activity,9,6,1,
"NM, Mckinley",1999-2024,35031,Human infections and non-human activity,9,7,0,
"NM, Mora",1999-2024,35033,Human infections and non-human activity,1,1,0,
"NM, Otero",1999-2024,35035,Human infections and non-human activity,1,1,0,
"NM, Quay",1999-2024,35037,Human infections and non-human activity,20,10,1,
"NM, Rio Arriba",1999-2024,35039,Human infections and non-human activity,34,18,3,
"NM, Roosevelt",1999-2024,35041,Human infections and non-human activity,20,10,0,
"NM, Sandoval",1999-2024,35043,Human infections and non-human activity,57,34,7,
"NM, San Juan",1999-2024,35045,Human infections and non-human activity,134,80,17,
"NM, San Miguel",1999-2024,35047,Human infections and non-human activity,12,4,1,
"NM, Santa Fe",1999-2024,35049,Human infections and non-human activity,35,23,0,
"NM, Sierra",1999-2024,35051,Human infections and non-human activity,2,2,0,
"NM, Socorro",1999-2024,35053,Human infections and non-human activity,7,1,2,
"NM, Taos",1999-2024,35055,Human infections and non-human activity,19,13,1,
"NM, Torrance",1999-2024,35057,Human infections and non-human activity,10,7,0,
"NM, Union",1999-2024,35059,Human infections and non-human activity,7,3,1,
"NM, Valencia",1999-2024,35061,Human infections and non-human activity,44,28,5,
"NY, Albany",1999-2024,36001,Human infections and non-human activity,5,2,3,
"NY, Allegany",1999-2024,36003,Non-human activity,0,0,0,
"NY, Bronx",1999-2024,36005,Human infections and non-human activity,64,56,1,
"NY, Broome",1999-2024,36007,Human infections and non-human activity,11,7,1,
"NY, Cattaraugus",1999-2024,36009,Human infections and non-human activity,3,1,0,
"NY, Cayuga",1999-2024,36011,Human infections and non-human activity,1,0,0,
"NY, Chautauqua",1999-2024,36013,Non-human activity,0,0,0,
"NY, Chemung",1999-2024,36015,Human infections and non-human activity,1,1,0,
"NY, Chenango",1999-2024,36017,Human infections and non-human activity,1,1,0,
"NY, Clinton",1999-2024,36019,Human infections and non-human activity,3,3,0,
"NY, Columbia",1999-2024,36021,Human infections and non-human activity,2,2,1,
"NY, Cortland",1999-2024,36023,Non-human activity,0,0,0,
"NY, Delaware",1999-2024,36025,Non-human activity,0,0,0,
"NY, Dutchess",1999-2024,36027,Human infections and non-human activity,12,8,1,
"NY, Erie",1999-2024,36029,Human infections and non-human activity,29,19,6,
"NY, Essex",1999-2024,36031,Non-human activity,0,0,0,
"NY, Franklin",1999-2024,36033,Non-human activity,0,0,0,
"NY, Fulton",1999-2024,36035,Non-human activity,0,0,0,
"NY, Genesee",1999-2024,36037,Human infections and non-human activity,1,0,0,
"NY, Greene",1999-2024,36039,Human infections and non-human activity,5,5,0,
"NY, Hamilton",1999-2024,36041,Non-human activity,0,0,0,
"NY, Herkimer",1999-2024,36043,Human infections and non-human activity,1,0,0,
"NY, Jefferson",1999-2024,36045,Human infections and non-human activity,0,0,1,
"NY, Kings",1999-2024,36047,Human infections and non-human activity,131,99,14,
"NY, Lewis",1999-2024,36049,Non-human activity,0,0,0,
"NY, Livingston",1999-2024,36051,Human infections and non-human activity,2,2,1,
"NY, Madison",1999-2024,36053,Non-human activity,0,0,0,
"NY, Monroe",1999-2024,36055,Human infections and non-human activity,21,16,4,
"NY, Montgomery",1999-2024,36057,Non-human activity,0,0,0,
"NY, Nassau",1999-2024,36059,Human infections and non-human activity,290,212,24,
"NY, New York",1999-2024,36061,Human infections and non-human activity,74,60,2,
"NY, Niagara",1999-2024,36063,Human infections and non-human activity,9,6,2,
"NY, Oneida",1999-2024,36065,Non-human activity,0,0,0,
"NY, Onondaga",1999-2024,36067,Human infections and non-human activity,24,16,1,
"NY, Ontario",1999-2024,36069,Non-human activity,0,0,0,
"NY, Orange",1999-2024,36071,Human infections and non-human activity,2,1,0,
"NY, Orleans",1999-2024,36073,Human infections and non-human activity,2,2,0,
"NY, Oswego",1999-2024,36075,Human infections and non-human activity,5,5,0,
"NY, Otsego",1999-2024,36077,Non-human activity,0,0,0,
"NY, Putnam",1999-2024,36079,Human infections and non-human activity,1,0,0,
"NY, Queens",1999-2024,36081,Human infections and non-human activity,208,182,14,
"NY, Rensselaer",1999-2024,36083,Human infections and non-human activity,2,2,2,
"NY, Richmond",1999-2024,36085,Human infections and non-human activity,92,69,4,
"NY, Rockland",1999-2024,36087,Human infections and non-human activity,8,6,0,
"NY, St Lawrence",1999-2024,36089,Human infections and non-human activity,3,1,1,
"NY, Saratoga",1999-2024,36091,Human infections and non-human activity,6,4,3,
"NY, Schenectady",1999-2024,36093,Human infections and non-human activity,5,3,0,
"NY, Schoharie",1999-2024,36095,Non-human activity,0,0,0,
"NY, Schuyler",1999-2024,36097,Human infections and non-human activity,1,1,0,
"NY, Seneca",1999-2024,36099,Non-human activity,0,0,0,
"NY, Steuben",1999-2024,36101,Human infections and non-human activity,1,1,0,
"NY, Suffolk",1999-2024,36103,Human infections and non-human activity,166,112,22,
"NY, Sullivan",1999-2024,36105,Human infections and non-human activity,2,1,0,
"NY, Tioga",1999-2024,36107,Human infections and non-human activity,1,1,0,
"NY, Tompkins",1999-2024,36109,Human infections and non-human activity,3,3,2,
"NY, Ulster",1999-2024,36111,Human infections and non-human activity,3,1,1,
"NY, Warren",1999-2024,36113,Human infections and non-human activity,2,0,0,
"NY, Washington",1999-2024,36115,Human infections and non-human activity,2,2,0,
"NY, Wayne",1999-2024,36117,Human infections and non-human activity,3,2,0,
"NY, Westchester",1999-2024,36119,Human infections and non-human activity,78,59,1,
"NY, Wyoming",1999-2024,36121,Human infections and non-human activity,2,2,0,
"NY, Yates",1999-2024,36123,Human infections and non-human activity,2,2,1,
NY,1999-2024,36999,Human infections,1,1,0,
"NC, Alamance",1999-2024,37001,Human infections and non-human activity,2,2,0,
"NC, Alexander",1999-2024,37003,Non-human activity,0,0,0,
"NC, Alleghany",1999-2024,37005,Non-human activity,0,0,0,
"NC, Anson",1999-2024,37007,Non-human activity,0,0,0,
"NC, Ashe",1999-2024,37009,Human infections and non-human activity,1,1,0,
"NC, Beaufort",1999-2024,37013,Human infections and non-human activity,4,4,1,
"NC, Bertie",1999-2024,37015,Non-human activity,0,0,0,
"NC, Bladen",1999-2024,37017,Non-human activity,0,0,0,
"NC, Brunswick",1999-2024,37019,Human infections and non-human activity,2,1,0,
"NC, Buncombe",1999-2024,37021,Human infections and non-human activity,3,3,3,
"NC, Burke",1999-2024,37023,Human infections and non-human activity,1,1,0,
"NC, Cabarrus",1999-2024,37025,Human infections and non-human activity,4,4,1,
"NC, Caldwell",1999-2024,37027,Human infections and non-human activity,0,0,1,
"NC, Camden",1999-2024,37029,Non-human activity,0,0,0,
"NC, Carteret",1999-2024,37031,Human infections and non-human activity,1,1,0,
"NC, Caswell",1999-2024,37033,Non-human activity,0,0,0,
"NC, Catawba",1999-2024,37035,Human infections and non-human activity,4,4,0,
"NC, Chatham",1999-2024,37037,Non-human activity,0,0,0,
"NC, Cherokee",1999-2024,37039,Non-human activity,0,0,0,
"NC, Chowan",1999-2024,37041,Non-human activity,0,0,0,
"NC, Clay",1999-2024,37043,Human infections and non-human activity,1,1,0,
"NC, Cleveland",1999-2024,37045,Human infections and non-human activity,2,2,0,
"NC, Columbus",1999-2024,37047,Human infections and non-human activity,4,4,0,
"NC, Craven",1999-2024,37049,Human infections and non-human activity,2,2,0,
"NC, Cumberland",1999-2024,37051,Human infections and non-human activity,10,8,1,
"NC, Currituck",1999-2024,37053,Human infections and non-human activity,2,1,0,
"NC, Dare",1999-2024,37055,Human infections and non-human activity,1,1,0,
"NC, Davidson",1999-2024,37057,Human infections and non-human activity,1,1,0,
"NC, Davie",1999-2024,37059,Human infections and non-human activity,1,1,0,
"NC, Duplin",1999-2024,37061,Non-human activity,0,0,0,
"NC, Durham",1999-2024,37063,Human infections and non-human activity,4,4,2,
"NC, Edgecombe",1999-2024,37065,Non-human activity,0,0,0,
"NC, Forsyth",1999-2024,37067,Human infections and non-human activity,3,3,0,
"NC, Franklin",1999-2024,37069,Human infections and non-human activity,1,1,0,
"NC, Gaston",1999-2024,37071,Human infections and non-human activity,1,1,0,
"NC, Gates",1999-2024,37073,Non-human activity,0,0,0,
"NC, Granville",1999-2024,37077,Non-human activity,0,0,0,
"NC, Greene",1999-2024,37079,Non-human activity,0,0,0,
"NC, Guilford",1999-2024,37081,Human infections and non-human activity,6,5,0,
"NC, Halifax",1999-2024,37083,Non-human activity,0,0,0,
"NC, Harnett",1999-2024,37085,Human infections and non-human activity,1,0,0,
"NC, Haywood",1999-2024,37087,Human infections and non-human activity,1,1,0,
"NC, Henderson",1999-2024,37089,Non-human activity,0,0,0,
"NC, Hertford",1999-2024,37091,Human infections and non-human activity,1,1,0,
"NC, Hoke",1999-2024,37093,Human infections and non-human activity,0,0,1,
"NC, Hyde",1999-2024,37095,Human infections and non-human activity,1,0,0,
"NC, Iredell",1999-2024,37097,Human infections and non-human activity,2,1,0,
"NC, Jackson",1999-2024,37099,Human infections and non-human activity,1,0,0,
"NC, Johnston",1999-2024,37101,Human infections and non-human activity,1,1,0,
"NC, Jones",1999-2024,37103,Non-human activity,0,0,0,
"NC, Lee",1999-2024,37105,Human infections and non-human activity,1,1,0,
"NC, Lenoir",1999-2024,37107,Human infections and non-human activity,2,2,0,
